tiempo(s),Numero_joints,G-parcial(N)
12.223,7.000,292.360
12.234,7.000,292.519
12.244,7.000,292.633
12.255,7.000,292.705
12.265,7.000,292.849
12.276,7.000,292.961
12.287,7.000,293.057
12.297,7.000,293.157
12.308,7.000,293.254
12.319,7.000,293.355
12.329,7.000,293.446
12.340,7.000,293.532
12.350,7.000,293.614
12.361,7.000,293.695
12.371,7.000,293.772
12.382,7.000,293.841
12.392,7.000,293.909
12.403,7.000,293.972
12.414,7.000,294.032
12.424,7.000,294.084
12.435,7.000,294.137
12.446,7.000,294.189
12.456,7.000,294.232
12.467,7.000,294.271
12.477,7.000,294.305
12.488,7.000,294.336
12.499,7.000,294.362
12.509,7.000,294.386
12.520,7.000,294.404
12.531,7.000,294.420
12.541,7.000,294.431
12.552,7.000,294.437
12.563,7.000,294.444
12.574,7.000,294.441
12.584,7.000,294.438
12.595,7.000,294.431
12.606,7.000,294.425
12.616,7.000,294.408
12.627,7.000,294.394
12.638,7.000,294.369
12.648,7.000,294.345
12.659,7.000,294.318
12.669,7.000,294.286
12.680,7.000,294.253
12.691,7.000,294.216
12.701,7.000,294.176
12.712,7.000,294.134
12.723,7.000,294.093
12.733,7.000,294.037
12.744,7.000,293.994
12.754,7.000,293.945
12.765,7.000,293.658
12.776,7.000,293.222
12.786,7.000,292.740
12.797,7.000,292.110
12.808,7.000,291.404
12.818,7.000,290.813
12.829,7.000,302.512
12.840,7.000,292.995
12.850,7.000,292.894
12.861,7.000,292.811
12.872,7.000,304.298
12.882,7.000,304.299
12.893,7.000,304.302
12.904,7.000,304.310
12.914,7.000,304.301
12.925,7.000,304.297
12.935,7.000,304.290
12.946,7.000,304.265
12.957,7.000,281.818
12.967,7.000,281.435
12.978,7.000,281.372
12.989,7.000,281.581
12.999,7.000,281.828
13.010,7.000,281.996
13.021,7.000,282.190
13.031,7.000,282.386
13.042,7.000,282.560
13.053,7.000,282.755
13.063,7.000,282.931
13.074,7.000,283.103
13.085,7.000,283.279
13.095,7.000,283.431
13.106,7.000,283.589
13.117,7.000,283.735
13.128,7.000,283.892
13.138,7.000,284.038
13.149,7.000,284.179
13.160,7.000,284.317
13.170,7.000,284.440
13.181,7.000,284.582
13.192,7.000,284.709
13.203,7.000,284.841
13.214,7.000,284.957
13.224,7.000,285.072
13.235,7.000,285.187
13.246,7.000,285.299
13.256,7.000,285.408
13.267,7.000,285.515
13.278,7.000,285.618
13.289,7.000,285.720
13.300,7.000,285.774
13.310,7.000,285.909
13.321,7.000,285.766
13.332,7.000,286.023
13.343,7.000,286.071
13.353,7.000,286.114
13.364,7.000,286.211
13.375,7.000,290.914
13.386,7.000,198.278
13.397,7.000,190.586
13.407,7.000,187.562
13.418,7.000,184.623
13.429,7.000,181.735
13.439,7.000,178.897
13.450,7.000,176.113
13.461,7.000,173.377
13.472,7.000,170.688
13.483,7.000,168.045
13.493,7.000,165.447
13.504,7.000,162.895
13.515,7.000,160.389
13.525,7.000,157.923
13.536,7.000,155.529
13.547,7.000,153.038
13.557,7.000,150.537
13.568,7.000,148.098
13.579,7.000,145.713
13.589,7.000,143.358
13.600,7.000,141.021
13.611,7.000,138.751
13.622,7.000,136.483
13.632,7.000,134.327
13.643,7.000,132.171
13.654,7.000,130.052
13.664,7.000,138.335
13.675,7.000,128.780
13.686,7.000,125.693
13.697,7.000,123.839
13.707,7.000,122.023
13.718,7.000,120.249
13.729,7.000,118.500
13.739,7.000,116.797
13.750,7.000,115.114
13.761,7.000,113.471
13.771,7.000,111.849
13.782,7.000,110.267
13.793,7.000,108.705
13.804,7.000,107.179
13.814,7.000,105.679
13.825,7.000,104.205
13.836,7.000,102.764
13.846,7.000,101.344
13.857,7.000,99.957
13.868,7.000,98.593
13.878,7.000,97.256
13.889,7.000,95.942
13.900,7.000,94.636
13.910,7.000,93.336
13.921,7.000,92.043
13.932,7.000,90.839
13.942,7.000,89.689
13.953,7.000,88.507
13.964,7.000,87.405
13.974,7.000,86.231
13.985,7.000,85.168
13.996,7.000,84.037
14.007,7.000,82.995
14.017,7.000,81.958
14.028,7.000,80.911
14.039,7.000,79.898
14.050,7.000,78.911
14.060,7.000,77.944
14.071,7.000,77.003
14.082,7.000,76.069
14.092,7.000,75.133
14.103,7.000,74.283
14.114,7.000,73.410
14.124,7.000,72.560
14.135,7.000,71.697
14.146,7.000,70.882
14.156,7.000,70.040
14.167,7.000,69.238
14.178,7.000,68.454
14.188,7.000,67.689
14.199,7.000,66.939
14.210,7.000,66.197
14.220,7.000,65.485
14.231,7.000,64.737
14.242,7.000,64.090
14.252,7.000,63.355
14.263,7.000,62.710
14.274,7.000,62.031
14.284,7.000,61.409
14.295,7.000,60.800
14.306,7.000,60.184
14.317,7.000,59.580
14.328,7.000,58.982
14.338,7.000,58.396
14.349,7.000,57.823
14.360,7.000,57.268
14.370,7.000,56.692
14.381,7.000,56.192
14.392,7.000,55.616
14.403,7.000,55.095
14.414,7.000,54.632
14.424,7.000,54.097
14.435,7.000,53.613
14.446,7.000,53.164
14.457,7.000,52.706
14.467,7.000,52.250
14.478,7.000,51.754
14.489,7.000,51.325
14.499,7.000,50.920
14.510,7.000,50.500
14.521,7.000,50.089
14.531,7.000,49.680
14.542,7.000,49.243
14.553,7.000,48.885
14.563,7.000,48.510
14.574,7.000,48.086
14.585,7.000,47.731
14.595,7.000,47.395
14.606,7.000,47.041
14.617,7.000,46.695
14.627,7.000,46.358
14.638,7.000,45.985
14.649,7.000,45.688
14.659,7.000,45.372
14.670,7.000,45.047
14.681,7.000,44.745
14.691,7.000,44.452
14.702,7.000,44.146
14.713,7.000,43.854
14.723,7.000,43.566
14.734,7.000,43.280
14.745,7.000,43.010
14.756,7.000,42.745
14.767,7.000,42.483
14.777,7.000,42.235
14.788,7.000,41.973
14.799,7.000,41.711
14.810,7.000,41.495
14.820,7.000,41.257
14.831,7.000,41.031
14.842,7.000,40.779
14.853,7.000,40.582
14.864,7.000,40.327
14.874,7.000,40.139
14.885,7.000,39.933
14.896,7.000,39.704
14.907,7.000,39.485
14.917,7.000,39.318
14.928,7.000,39.119
14.939,7.000,38.933
14.950,7.000,38.734
14.960,7.000,38.535
14.971,7.000,38.350
14.982,7.000,38.177
14.993,7.000,38.013
15.003,7.000,37.864
15.014,7.000,37.683
15.025,7.000,37.516
15.036,7.000,37.349
15.046,7.000,37.195
15.057,7.000,37.043
15.068,7.000,36.899
15.078,7.000,36.751
15.089,7.000,36.580
15.100,7.000,36.488
15.111,7.000,36.324
15.121,7.000,36.210
15.132,7.000,36.061
15.143,7.000,35.891
15.154,7.000,35.807
15.165,7.000,35.645
15.175,7.000,35.557
15.186,7.000,35.402
15.197,7.000,35.307
15.208,7.000,35.196
15.218,7.000,35.075
15.229,7.000,34.951
15.240,7.000,34.843
15.251,7.000,34.755
15.261,7.000,34.631
15.272,7.000,34.531
15.283,7.000,34.459
15.294,7.000,34.356
15.305,7.000,34.247
15.315,7.000,34.166
15.326,7.000,34.059
15.337,7.000,33.962
15.348,7.000,33.877
15.358,7.000,33.803
15.369,7.000,33.710
15.380,7.000,33.619
15.391,7.000,33.559
15.401,7.000,33.453
15.412,7.000,33.376
15.423,7.000,33.304
15.434,7.000,33.227
15.445,7.000,33.124
15.455,7.000,33.098
15.466,7.000,32.988
15.477,7.000,32.930
15.488,7.000,32.863
15.499,7.000,32.817
15.509,7.000,32.742
15.520,7.000,32.670
15.531,7.000,32.612
15.542,7.000,32.543
15.552,7.000,32.488
15.563,7.000,32.430
15.574,7.000,32.352
15.585,7.000,32.308
15.595,7.000,32.262
15.606,7.000,32.195
15.617,7.000,32.136
15.628,7.000,32.078
15.638,7.000,32.030
15.649,7.000,31.943
15.660,7.000,31.938
15.671,7.000,31.873
15.682,7.000,31.836
15.692,7.000,31.802
15.703,7.000,31.753
15.714,7.000,31.701
15.725,7.000,31.666
15.735,7.000,31.610
15.746,7.000,31.570
15.757,7.000,31.525
15.768,7.000,31.484
15.778,7.000,31.443
15.789,7.000,31.423
15.800,7.000,31.375
15.811,7.000,31.318
15.821,7.000,31.292
15.832,7.000,31.240
15.843,7.000,31.207
15.854,7.000,31.177
15.865,7.000,31.164
15.875,7.000,31.102
15.886,7.000,31.100
15.897,7.000,31.032
15.908,7.000,31.023
15.918,7.000,30.996
15.929,7.000,30.960
15.940,7.000,30.918
15.950,7.000,30.888
15.961,7.000,30.870
15.972,7.000,30.860
15.983,7.000,30.824
15.993,7.000,30.794
16.004,7.000,30.783
16.015,7.000,30.742
16.026,7.000,30.714
16.036,7.000,30.690
16.047,7.000,30.659
16.058,7.000,30.644
16.069,7.000,30.604
16.079,7.000,30.594
16.090,7.000,30.558
16.101,7.000,30.539
16.112,7.000,30.546
16.122,7.000,30.523
16.133,7.000,30.477
16.144,7.000,30.479
16.155,7.000,30.437
16.166,7.000,30.439
16.176,7.000,30.410
16.187,7.000,30.401
16.198,7.000,30.372
16.209,7.000,30.370
16.219,7.000,30.325
16.230,7.000,30.329
16.241,7.000,30.310
16.252,7.000,30.292
16.263,7.000,30.255
16.273,7.000,30.264
16.284,7.000,30.239
16.295,7.000,30.229
16.306,7.000,30.219
16.317,7.000,30.193
16.327,7.000,30.102
16.338,7.000,30.183
16.349,7.000,30.153
16.360,7.000,30.139
16.371,7.000,30.117
16.382,7.000,30.108
16.392,7.000,30.107
16.403,7.000,30.009
16.414,7.000,30.069
16.425,7.000,30.064
16.436,7.000,30.061
16.446,7.000,30.050
16.457,7.000,30.036
16.468,7.000,30.014
16.479,7.000,30.022
16.490,7.000,30.002
16.500,7.000,29.912
16.511,7.000,29.988
16.522,7.000,29.981
16.533,7.000,29.937
16.544,7.000,29.944
16.554,7.000,29.943
16.565,7.000,29.930
16.576,7.000,29.917
16.587,7.000,29.817
16.598,7.000,29.899
16.608,7.000,29.892
16.619,7.000,29.894
16.630,7.000,29.875
16.640,7.000,29.862
16.651,7.000,29.878
16.662,7.000,29.862
16.672,7.000,29.848
16.683,7.000,29.852
16.694,7.000,29.839
16.705,7.000,29.821
16.715,7.000,29.824
16.726,7.000,29.817
16.737,7.000,29.798
16.748,7.000,29.812
16.758,7.000,29.797
16.769,7.000,29.773
16.780,7.000,29.791
16.791,7.000,29.750
16.801,7.000,29.775
16.812,7.000,29.764
16.823,7.000,29.757
16.833,7.000,29.753
16.844,7.000,29.750
16.855,7.000,29.739
16.866,7.000,29.648
16.877,7.000,29.726
16.887,7.000,29.715
16.898,7.000,29.720
16.909,7.000,29.707
16.920,7.000,29.703
16.930,7.000,29.675
16.941,7.000,29.719
16.952,7.000,29.672
16.962,7.000,29.682
16.973,7.000,29.696
16.984,7.000,29.658
16.995,7.000,29.687
17.005,7.000,29.678
