tiempo(s),Numero_joints,G-parcial(N)
2.806,7.000,0.000
2.816,7.000,0.000
2.827,7.000,0.000
2.838,7.000,0.000
2.849,7.000,0.000
2.859,7.000,0.000
2.870,7.000,0.000
2.881,7.000,0.000
2.891,7.000,0.000
2.902,7.000,0.000
2.913,7.000,0.000
2.924,7.000,0.000
2.935,7.000,0.000
2.945,7.000,0.000
2.956,7.000,0.000
2.967,7.000,0.000
2.978,7.000,0.000
2.989,7.000,0.000
2.999,7.000,0.000
3.010,7.000,0.000
3.021,7.000,0.000
3.032,7.000,0.000
3.042,7.000,0.000
3.053,7.000,0.000
3.064,7.000,0.000
3.075,7.000,0.000
3.086,7.000,0.000
3.097,7.000,0.000
3.107,7.000,0.000
3.118,7.000,0.000
3.129,7.000,0.000
3.139,7.000,0.000
3.150,7.000,0.000
3.161,7.000,0.000
3.171,7.000,0.000
3.182,7.000,0.000
3.193,7.000,0.000
3.203,7.000,0.000
3.214,7.000,0.000
3.225,7.000,0.000
3.236,7.000,0.000
3.247,7.000,0.000
3.258,7.000,0.000
3.269,7.000,0.000
3.279,7.000,0.000
3.290,7.000,0.000
3.301,7.000,0.000
3.312,7.000,0.000
3.323,7.000,0.000
3.334,7.000,0.000
3.345,7.000,0.000
3.355,7.000,0.000
3.366,7.000,0.000
3.377,7.000,0.000
3.388,7.000,0.000
3.399,7.000,0.000
3.410,7.000,0.000
3.421,7.000,0.000
3.431,7.000,0.000
3.442,7.000,0.000
3.453,7.000,0.000
3.464,7.000,0.000
3.474,7.000,0.000
3.485,7.000,0.000
3.496,7.000,0.000
3.507,7.000,0.000
3.517,7.000,0.000
3.528,7.000,0.000
3.539,7.000,0.000
3.550,7.000,0.000
3.561,7.000,0.000
3.571,7.000,0.000
3.582,7.000,0.000
3.593,7.000,0.000
3.604,7.000,0.000
3.615,7.000,0.000
3.626,7.000,0.000
3.637,7.000,0.000
3.648,7.000,0.000
3.659,7.000,0.000
3.669,7.000,0.000
3.680,7.000,0.000
3.691,7.000,0.000
3.701,7.000,0.000
3.712,7.000,0.000
3.723,7.000,0.000
3.734,7.000,0.000
3.745,7.000,0.000
3.755,7.000,0.000
3.766,7.000,0.000
3.777,7.000,0.000
3.788,7.000,0.000
3.799,7.000,0.000
3.809,7.000,0.000
3.820,7.000,0.000
3.831,7.000,0.000
3.842,7.000,0.000
3.853,7.000,0.000
3.863,7.000,0.000
3.874,7.000,0.000
3.885,7.000,0.000
3.896,7.000,0.000
3.906,7.000,0.000
3.917,7.000,0.000
3.928,7.000,0.000
3.939,7.000,0.000
3.950,7.000,0.000
3.960,7.000,0.000
3.971,7.000,0.000
3.982,7.000,0.000
3.993,7.000,0.000
4.003,7.000,32.264
4.014,7.000,631.645
4.025,7.000,186.139
4.036,7.000,617.447
4.047,7.000,618.067
4.058,7.000,499.444
4.068,7.000,477.340
4.079,7.000,1020.165
4.090,7.000,851.207
4.101,7.000,857.983
4.112,7.000,720.364
4.122,7.000,673.927
4.133,7.000,697.339
4.144,7.000,787.117
